row_number,source_tag_id,source_tag_label,target_tag_id,target_tag_label,original_job_name,job_id,official_job_name,weight,reason,route_type,tag_status,job_match_status,review_status,note
170,D018,住まい・暮らし,,,福祉住環境コーディネーター,JT0407,治験コーディネーター,0.6,高齢者や障害者の住みやすさに関われるため,surprise,needs_new_tag,candidate,review,fuzzy candidate: 治験コーディネーター
171,D018,住まい・暮らし,,,販売員,JT0054,デパート店員,0.4,家具や生活用品を通じて暮らしを提案できるため,surprise,needs_new_tag,candidate,review,販売員 is broad; candidate: デパート店員
172,D019,交通・物流,,,物流企画,,,1.0,物の流れや配送の仕組み作りに関わるため,classic,needs_new_tag,not_found,review,
173,D019,交通・物流,,,交通計画,,,0.9,人の移動や公共交通の改善に関わるため,classic,needs_new_tag,not_found,review,
174,D019,交通・物流,,,鉄道会社企画職,,,0.8,鉄道や駅を通じた移動体験に関わるため,classic,needs_new_tag,not_found,review,
175,D019,交通・物流,,,航空会社総合職,,,0.7,空の移動や輸送サービスに関わるため,classic,needs_new_tag,not_found,review,
176,D019,交通・物流,,,倉庫管理,,,0.7,物流拠点の運営や効率化に関わるため,classic,needs_new_tag,not_found,review,
177,D019,交通・物流,,,モビリティサービス企画,,,0.8,新しい移動手段やサービスを作るため,surprise,needs_new_tag,not_found,review,
178,D019,交通・物流,,,データアナリスト,JT0323,データサイエンティスト,0.6,配送や交通データを分析して改善に活かせるため,surprise,needs_new_tag,mapped,review,データアナリスト -> データサイエンティスト
179,D019,交通・物流,,,EC運営,,,0.5,通販と配送体験の設計に関われるため,surprise,needs_new_tag,not_found,review,
180,D019,交通・物流,,,自動運転開発,JT0528,自動運転開発エンジニア（自動車）,0.6,未来の移動や物流の技術に関われるため,surprise,needs_new_tag,candidate,review,substring candidate: 自動運転開発エンジニア（自動車）
181,D019,交通・物流,,,サプライチェーンマネージャー,,,0.8,調達から配送までの流れを設計するため,classic,needs_new_tag,not_found,review,
182,D020,法律・制度,,,弁護士,JT0089,弁護士,1.0,法律を使って権利や課題解決に関わるため,classic,needs_new_tag,exact,review,
183,D020,法律・制度,,,法務,JT0089,弁護士,0.9,企業活動のルールや契約を支えるため,classic,needs_new_tag,candidate,review,法務 is broad; candidate: 弁護士
184,D020,法律・制度,,,知的財産担当,,,0.8,発明やブランドなどの権利を守るため,classic,needs_new_tag,not_found,review,
185,D020,法律・制度,,,司法書士,JT0084,司法書士,0.8,登記や法的手続きを支えるため,classic,needs_new_tag,exact,review,
186,D020,法律・制度,,,行政書士,JT0085,行政書士,0.7,許認可や書類手続きで人や企業を支えるため,classic,needs_new_tag,exact,review,
187,D020,法律・制度,,,コンプライアンス担当,JT0447,コンプライアンス推進担当,0.8,組織がルールを守る仕組みを作るため,classic,needs_new_tag,candidate,review,fuzzy candidate: コンプライアンス推進担当
188,D020,法律・制度,,,政策立案スタッフ,,,0.6,社会の制度やルール設計に関われるため,surprise,needs_new_tag,not_found,review,
189,D020,法律・制度,,,人権NPO職員,,,0.6,法律や制度を通じた支援に関われるため,surprise,needs_new_tag,not_found,review,
190,D020,法律・制度,,,情報セキュリティ担当,,,0.4,個人情報やデータ利用のルールに関われるため,surprise,needs_new_tag,not_found,review,
191,D020,法律・制度,,,編集者,,,0.3,法律情報をわかりやすく伝える仕事に関われるため,surprise,needs_new_tag,needs_review,review,multiple candidates: 図書編集者 / 雑誌編集者 / 映像編集者
192,D021,動物・ペット,,,獣医師,JT0223,獣医師,1.0,動物の診療や健康管理に直接関わるため,classic,needs_new_tag,exact,review,
193,D021,動物・ペット,,,動物看護師,,,0.9,動物医療の現場でケアに関わるため,classic,needs_new_tag,needs_review,review,multiple candidates: 看護師 / 動物看護
194,D021,動物・ペット,,,ペット用品企画,,,0.8,動物との暮らしを支える商品を作るため,classic,needs_new_tag,not_found,review,
195,D021,動物・ペット,,,トリマー,JT0227,トリマー,0.8,ペットのケアや健康管理に関わるため,classic,needs_new_tag,exact,review,
196,D021,動物・ペット,,,動物園飼育員,JT0220,動物園飼育員,0.8,動物の飼育や保全に関わるため,classic,needs_new_tag,exact,review,
197,D021,動物・ペット,,,保護団体職員,,,0.7,保護活動や譲渡支援に関わるため,classic,needs_new_tag,not_found,review,
198,D021,動物・ペット,,,畜産職,,,0.7,家畜の生産や飼育管理に関わるため,classic,needs_new_tag,not_found,review,
199,D021,動物・ペット,,,商品マーケター,,,0.5,ペット市場や飼い主のニーズを商品に活かせるため,surprise,needs_new_tag,not_found,review,
200,D021,動物・ペット,,,行政職員,JT0138,国家公務員（行政事務）,0.4,動物愛護や衛生に関わる制度運用に関われるため,surprise,needs_new_tag,candidate,review,行政職員 is broad; candidate: 国家公務員（行政事務）
201,D021,動物・ペット,,,研究職,,,0.5,動物の行動や健康に関する研究に関われるため,surprise,needs_new_tag,not_found,review,
202,D022,科学・宇宙,,,研究者,,,1.0,科学的な問いを深く探究するため,classic,needs_new_tag,needs_review,review,multiple candidates: 土木・建築工学研究者 / 情報工学研究者 / 医学研究者 / 薬学研究者 / バイオテクノロジー研究者
203,D022,科学・宇宙,,,宇宙開発エンジニア,JT0213,録音エンジニア,1.0,ロケットや衛星など宇宙技術に関わるため,classic,needs_new_tag,candidate,review,fuzzy candidate: 録音エンジニア
204,D022,科学・宇宙,,,データサイエンティスト,JT0323,データサイエンティスト,0.8,観測や実験データの分析に関われるため,classic,needs_new_tag,exact,review,
205,D022,科学・宇宙,,,大学教員,JT0184,大学・短期大学教員,0.8,研究と教育の両方に関わるため,classic,needs_new_tag,candidate,review,substring candidate: 大学・短期大学教員
206,D022,科学・宇宙,,,実験技術者,JT0288,食品技術者,0.7,研究現場の実験や測定を支えるため,classic,needs_new_tag,candidate,review,fuzzy candidate: 食品技術者
207,D022,科学・宇宙,,,科学館スタッフ,JT0218,厩舎スタッフ,0.7,科学の面白さを一般の人に届けるため,surprise,needs_new_tag,candidate,review,fuzzy candidate: 厩舎スタッフ
208,D022,科学・宇宙,,,科学コミュニケーター,,,0.7,専門的な科学をわかりやすく伝えるため,surprise,needs_new_tag,not_found,review,
209,D022,科学・宇宙,,,技術広報,,,0.5,研究や技術の価値を社会に伝えるため,surprise,needs_new_tag,not_found,review,
210,D022,科学・宇宙,,,宇宙ビジネス企画,,,0.6,衛星データや宇宙技術の活用に関われるため,surprise,needs_new_tag,not_found,review,
211,D022,科学・宇宙,,,理科教材企画,,,0.5,科学への興味を育てる教材作りに関われるため,surprise,needs_new_tag,not_found,review,
